zip,percent_pop_0_17,percent_pop_70_80,median_hh_income,pop_bucket
7058,0.262,0.054,114229,high_under_18
7060,0.247,0.033,57959,high_under_18
7062,0.25,0.053,67664,high_under_18
7063,0.256,0.036,72440,high_under_18
7065,0.221,0.042,69932,high_under_18
7067,0.194,0.048,103205,high_under_18
7069,0.23,0.051,122434,high_under_18
7075,0.199,0.054,102283,high_under_18
7078,0.34,0.052,250001,high_under_18
7079,0.204,0.036,121637,high_under_18
7080,0.213,0.052,91250,high_under_18
7082,0.235,0.054,116615,high_under_18
7086,0.165,0.048,84841,high_under_18
7087,0.219,0.046,43407,high_under_18
7090,0.289,0.054,159923,high_under_18
7095,0.222,0.05,80196,high_under_18
7103,0.266,0.047,27859,high_under_18
7104,0.257,0.042,36547,high_under_18
7105,0.22,0.034,45227,high_under_18
7106,0.25,0.051,37421,high_under_18
7107,0.287,0.042,30779,high_under_18
7108,0.291,0.044,25192,high_under_18
7109,0.194,0.046,67782,high_under_18
7111,0.257,0.046,39734,high_under_18
7112,0.248,0.05,35765,high_under_18
7114,0.179,0.04,26326,high_under_18
7201,0.251,0.038,44655,high_under_18
7202,0.241,0.047,44867,high_under_18
7204,0.232,0.045,67300,high_under_18
7205,0.214,0.042,65717,high_under_18
7206,0.327,0.027,43429,high_under_18
7208,0.242,0.044,46572,high_under_18
7304,0.231,0.041,45870,high_under_18
7306,0.2,0.038,51197,high_under_18
7307,0.22,0.041,59744,high_under_18
7401,0.28,0.048,151875,high_under_18
7420,0.204,0.048,80614,high_under_18
7432,0.238,0.053,105313,high_under_18
7440,0.207,0.054,104236,high_under_18
7450,0.304,0.053,162201,high_under_18
7452,0.285,0.044,162443,high_under_18
7501,0.267,0.046,26691,high_under_18
7502,0.268,0.047,52292,high_under_18
7503,0.266,0.048,40368,high_under_18
7513,0.273,0.032,39665,high_under_18
7514,0.265,0.047,39951,high_under_18
7522,0.292,0.038,30902,high_under_18
7601,0.184,0.053,59277,high_under_18
7603,0.211,0.035,79356,high_under_18
7608,0.111,0.074,0,high_70_80
7621,0.219,0.054,90962,high_under_18
7624,0.251,0.052,130815,high_under_18
7640,0.278,0.048,127188,high_under_18
7646,0.192,0.05,84025,high_under_18
7650,0.143,0.061,64538,high_70_80
7657,0.187,0.048,66690,high_under_18
7660,0.228,0.043,72191,high_under_18
7670,0.31,0.054,153906,high_under_18
7704,0.349,0.053,158264,high_under_18
7718,0.222,0.054,102542,high_under_18
7721,0.21,0.036,68350,high_under_18
7737,0.214,0.045,91042,high_under_18
7758,0.24,0.044,92879,high_under_18
7760,0.293,0.045,138917,high_under_18
7833,0.165,0,0,high_under_18
7842,0.165,0,0,high_under_18
7882,0.215,0.053,90304,high_under_18
7901,0.282,0.047,128097,high_under_18
7927,0.231,0.048,106458,high_under_18
7935,0.117,0.239,0,high_70_80
7940,0.229,0.053,128116,high_under_18
7946,0.243,0.046,152750,high_under_18
7974,0.276,0.053,146776,high_under_18
7976,0.11,0.178,116019,high_70_80
7980,0.193,0.049,122716,high_under_18
8007,0.191,0.053,70152,high_under_18
8014,0.308,0,107838,high_under_18
8016,0.227,0.051,74626,high_under_18
8028,0.179,0.052,67875,high_under_18
8029,0.158,0.085,55435,high_70_80
8030,0.257,0.046,52136,high_under_18
8042,0.301,0,0,high_under_18
8049,0.214,0.044,55250,high_under_18
8059,0.189,0.046,73211,high_under_18
8060,0.222,0.048,79475,high_under_18
8061,0.321,0.03,144258,high_under_18
